node ID,name,common name,family,size,image 1 (animals on white),image 1 in file,image 2 (shells),image 2 in file,image 3 (animals in habitat),image 3 in file,identification characteristics,similar species,ecology,distribution in the British Isles,distribution elsewhere,conservation status,map image,notes
s1,"Abida secale (Draparnaud, 1833)",Large Chrysalis Snail,Chondrinidae,6.0 – 8.5 x 2.3 – 2.8 mm,s1-1.jpeg,y,s1-2.jpg,,s1-3.jpg,,"The shell is a conical cylinder, with a distinctively thickened mouth lip. The mouth also contains about 9 angular, prominent lamella-like teeth. The shell is brown with regular fine ribbing.",This is the only British Chondrinid and there are no similar species in Britain and Ireland.,"Rocks and screes, dry grasslands, open woodland; always found in limestone areas",England (as far north as Cumbria).,"Western European and Alpine, widespread but local in France, Belgium, Switzerland and southern and central Germany.",Included in the IUCN Red List as 'least concern',,
s2,"Acicula fusca (Montagu, 1803)",Point Snail,Aciculidae,2.2 – 2.5 x 0.8 mm,s2-1.jpeg,y,s2-2.jpg,,s2-3.jpg,,"Acicula fusca is a very small species of land snail with an almost straight-sided pointed shell. The shell is thin and translucent, pale golden-brown, very glossy and has irregularly-spaced sharply incised vertical grooves. The mouth of the shell is pear-shaped, and it is one of only two British land snails (the other being Pomatias elegans) to possess an operculum, a plate-like cover that fits tightly within the mouth of the shell when the animal is retracted.",There are no other species of Acicula in Britain and it is unlikely to be confused with other species.,"Found in damp places, especially ground litter in old deciduous woods or in moss by springs.","Widespread in Ireland, very local in Britain.","Found in Belgium, NW Germany, France south to the Dordogne and the Basses Pyrénées.","The IUCN Red List of Threatened Species records Acicula fusca as 'least concern', although it is declining in Ireland due to habitat loss and monitoring is recommended. It remains common in areas such as the Pyrenees, and its decline elsewhere is not yet rapid enough for the species to qualify for a threatened category.",,
s3,"Carychium minimum (Müller, 1774)",Short-toothed Herald Snail,Ellobiidae,1.1 - 1.9 x 0.9 mm,s3-1.jpeg,y,s3-2.jpg,,s3-3.jpg,,"The shell is pointed and very small, with a thickened mouth edge. It is very similar to Carychium tridentatum, and separation of these species is sometimes only possible by breaking their shells in order to examine their internal lamella.  ",It can be difficult to separate Carychium minimum from Carychium tridentatum.,"Found in wet places, such as marshes or very moist woodland. ",Common throughout Britain and Ireland.,"Found throughout North West Europe, but mostly coastal beyond 60° North, and absent from northern Scandinavia and Iceland. ",Not threatened.,,
s4,"Carychium tridentatum (Risso, 1826)",Slender Herald Snail,Ellobiidae,1.8 – 2.0 x 0.9 mm,s4-1.jpeg,y,s4-2.jpg,,s4-3.jpg,,"The shell is pointed and very small, with a thickened mouth edge, but relatively taller, narrower and more conical than Carychium minimum. It is very similar to Carychium minimum, and separation of these species is sometimes only possible by breaking their shells in order to examine their internal lamella.  ",It can be difficult to separate Carychium tridentatum from Carychium minimum.,"More tolerant of drier habitats than Carychium minimum, although the two species are often found together. Common in woods, damp grassland and well-vegetated places generally.",Common throughout Britain and Ireland.,"Found throughout Europe, but absent from northern Scandinavia and Iceland.",Not threatened.,,
s5,"Pomatias elegans (O.F. Müller, 1774)","Land Winkle, Round-mouthed Snail",Pomatiidae,9-11.5 x 13-16mm,s5-1.jpeg,y,s5-2.jpg,,s5-3.jpg,,"Pomatias elegans has a thick, conical shell with a distinctive sculpture of spiral and transverse ribs, the spiral ribbing being the most pronounced. Shell colour varies from pale greyish-purple to yellowish-beige. The mouth of the shell is circular, and it is one of only two British land snails (the other being Acicula fusca) to possess an operculum, a plate-like cover that fits tightly within the mouth of the shell when the animal is retracted. The animal has a long, flexible proboscis and the eyes are set at the base of two tentacles. The sole of the foot is divided longitudinally into halves, which are moved independently when crawling. The sexes are separate.",There are no other species of Pomatias in Britain and it is unlikely to be confused with other species.,"Found in open woodland, hedgerows, screes and amongst rocks; always in highly calcareous areas, often burrowing into the surface of loose, friable soils.",Restricted to areas of calcareous bedrock (limestone and chalk) and therefore most common in southern England. Also found in North Wales and southern Ireland (Co. Clare).,Found across Western Europe and the Mediterranean...,"The IUCN Red List of Threatened Species records Pomatias elegans as 'least concern' due to its wide distribution across Europe. However, it is protected locally where it is threatened by intensive farming, habitat loss and pesticides. The British population has seriously declined in eastern and central England, and it is endangered in Ireland.",,
s6,"Pyramidula pusilla (Vallot, 1801)",Rock Snail,Pyramidulidae,1.5 – 2.0 x 3.0 mm,s6-1.jpeg,y,s6-2.jpg,,s6-3.jpg,,Pyramidula pusilla is a very small species of land snail with a top-shaped dark reddish-brown shell; old specimens are often bleached nearly to white. The umbilicus is very broad and deep. Growth-ridges are well defined but irregular.,This species is unlikely to be confused with other species.,"Found on dry limestone rocks and walls fully exposed to the sun, hiding in crevices and emerging in damp weather to feed on lichens.","Common in most limestone areas of Britain and Ireland. Populations are also known where large limestone blocks have been transported, such as the rockeries in the Cambridge Botanic Garden.",Found across the Mediterranean and western Europe.,Not threatened.,,
s7,"Truncatellina callicratis (Scacchi, 1833)",British Whorl Snail,Vertiginidae,1.8 - 2.0 x 0.9mm,s7-1.jpeg,,s7-2.jpg,,s7-3.jpg,,"The shell is very similar to T. cylindrica, with an even more perfectly cylindrical outline; whorls slightly more convex and suture correspondingly deeper. Three denticles (teeth) are usually present, only one of which is visible in frontal view. However, the teeth may be reduced or even absent, making it difficult to separate from T. cylindrica.","The other species of Truncatellina known in Britain, T. cylindrica, has no teeth.","Found in very dry, calcareous grassy places, open rocky hillsides",Found along the south coast of England from Devon to the Isle of Wight.,"Common in the French and Swiss alps, Pyrenees and Dordogne.",,,
s8,"Truncatellina cylindrica (Férussac, 1807)",Cylindrical Whorl Snail,Vertiginidae,1.8 – 2.0 x 0.9 mm,s8-1.jpeg,,s8-2.jpg,,s8-3.jpg,,"The shell is almost cylindrical, with a domed apex. The mouth contains no teeth; the mouth edge is slightly thickened. The shell is pale golden-brown with numerous fine and evenly spaced transverse ribs, giving a sparkling appearance at low magnification.","The other species of Truncatellina known in Britain, T. callicratis, usually has three teeth. Only one of these is usually visible in frontal view, and they may be reduced or even absent, making this species difficult to separate from T. cylindrica.","Found in very dry, calcareous grassy places, screes, amongst rocks and occasionally on sand dunes.","Found in only a few very localized areas in the UK, in Bedfordshire, Yorkshire and Norfolk.","Widespread, but always localized, in southern and western Europe.",The Joint Nature Conservancy Council (JNCC) list Truncatellina cylindrica as a UK priority species owing to its marked decline in the UK.,,
s9,"Quickella arenaria (Bouchard-Chantereaux, 1837)",Sandbowl Snail,Succineidae,5 - 9 mm,s9-1.jpeg,y,s9-2.jpg,,s9-3.jpg,,"The shell has three extremely tumid whorls separated by a deep suture. The mouth forms about half the total height of the shell, which is reddish amber with rather coarse and irregular growth lines. ","This species cannot be reliably separated from Succinella oblonga on external characters alone, requiring dissection for a positive identification.","Found in damp sparsely-vegetated hollows in coastal sand dunes, and on bare mud in marshes. ","A rare species, found only in a few places on the coasts of England (north Devon) and Ireland (Co Mayo).","Restricted to coasts of France, Belgium, The Netherlands, West Germany, and Sweden, and also the mountains of central Scandanavia and eastern Switzerland. ","The IUCN Red List of Threatened Species records Quickella arenaria as ""Lower Risk / near threatened"". ",,
s10,"Succinella oblonga (Draparnaud, 1801)",,Succineidae,6 - 8 mm,s10-1.jpeg,y,s10-2.jpg,,s10-3.jpg,,"The shell of this species closely ressembles Quickella arenaria, but is usually long elongate, with less tumid whorls and a more oval mouth. The shell is pale amber to greenish white, with rather coarse and irregular growth lines and often encrusted with a muddy film. ","This species cannot be reliably separated from Quickella arenaria on external characters alone, requiring dissection for a positive identification.",Found in damp sparsely-vegetated places such as the flood plains of rivers and marshes; characteristically on dried-out bare muddy surfaces. ,Very localized distribution in Britain and Ireland. ,Widespread across northwest Europe but localized in Scandinavia. ,Not threatened.,,
